truck_id,cargo_id,origin,destination,distance_km,truck_type,total_capacity_tons,available_capacity_tons,cargo_type,cargo_weight_tons,truck_departure_hour,cargo_pickup_hour,time_gap_hours,route_similarity,capacity_fit,driver_rating,on_time_rate,cancel_rate,route_deviation_rate,price_per_km_ton,quoted_price_inr,successful_match
T11420,C21420,Delhi,Lucknow,550,17FT,7.3,2.86,Industrial Goods,3.22,2,3,0.65,0.897,0.889,4.24,0.755,0.001,0.042,1.17,2072,0
T11421,C21421,Bengaluru,Chennai,350,Tata 407,3.97,1.74,FMCG,0.7,15,20,5.47,0.902,1.0,4.24,0.988,0.112,0.036,1.02,249,1
T11422,C21422,Mumbai,Delhi,1400,32FT,17.61,2.1,Electronics,2.13,16,20,4.32,0.939,0.987,4.7,0.777,0.019,0.091,1.39,4150,1
T11423,C21423,Ahmedabad,Mumbai,530,LCV,2.33,1.15,Industrial Goods,0.53,7,7,1.64,1.0,1.0,4.29,0.812,0.098,0.05,0.91,252,1
T11424,C21424,Chennai,Bengaluru,350,LCV,2.48,1.04,Industrial Goods,1.04,9,7,1.25,0.857,0.996,4.81,0.856,0.071,0.022,0.74,271,1
T11425,C21425,Mumbai,Bengaluru,980,40FT,21.96,8.98,Industrial Goods,1.14,6,5,1.69,1.0,1.0,4.12,0.713,0.002,0.025,0.64,714,0
T11426,C21426,Pune,Mumbai,150,LCV,2.82,1.2,Furniture,0.92,23,23,1.72,0.911,1.0,3.7,0.812,0.057,0.046,0.92,127,1
T11427,C21427,Hyderabad,Bengaluru,570,32FT,15.18,4.5,E-commerce Parcels,2.07,20,22,1.15,0.931,1.0,5.0,0.884,0.007,0.024,1.14,1342,1
T11428,C21428,Bhubaneswar,Kolkata,440,17FT,5.2,1.25,Furniture,0.44,4,2,1.85,0.878,1.0,4.25,0.893,0.024,0.05,1.02,224,1
T11429,C21429,Chennai,Hyderabad,630,20FT,9.17,6.06,Electronics,5.98,8,3,3.96,0.872,1.0,3.94,0.774,0.077,0.044,0.78,2931,0
T11430,C21430,Mumbai,Bengaluru,980,20FT,8.92,5.51,Auto Parts,3.04,8,9,0.1,0.95,1.0,3.28,0.995,0.033,0.028,0.99,2945,1
T11431,C21431,Bengaluru,Delhi,2150,Tata 407,4.83,3.02,Textiles,0.61,8,5,2.81,0.684,1.0,4.25,0.764,0.007,0.065,0.95,1236,0
T11432,C21432,Kolkata,Bhubaneswar,440,17FT,5.28,2.64,Auto Parts,0.28,23,22,0.49,0.905,1.0,4.96,0.917,0.016,0.038,1.06,233,0
T11433,C21433,Mumbai,Bengaluru,980,17FT,5.79,1.0,Electronics,1.09,1,2,1.15,0.995,0.919,5.0,0.733,0.076,0.066,0.77,828,1
T11434,C21434,Hyderabad,Chennai,630,17FT,5.09,1.32,E-commerce Parcels,1.5,5,7,2.81,1.0,0.879,4.36,0.862,0.131,0.006,1.05,990,1
T11435,C21435,Jaipur,Delhi,280,LCV,2.89,0.37,Electronics,0.34,1,0,2.32,0.962,1.0,4.79,0.995,0.017,0.023,0.78,109,1
T11436,C21436,Chennai,Bengaluru,350,17FT,5.18,1.43,Pharma,1.54,11,8,1.65,0.732,0.933,4.34,0.821,0.009,0.038,1.14,612,0
T11437,C21437,Mumbai,Bengaluru,980,20FT,8.82,1.31,FMCG,0.66,10,9,0.51,0.903,1.0,3.94,0.931,0.144,0.005,1.07,690,1
T11438,C21438,Bengaluru,Chennai,350,LCV,2.67,1.54,Auto Parts,1.23,9,10,1.03,1.0,1.0,4.4,0.995,0.025,0.002,0.48,209,1
T11439,C21439,Jaipur,Delhi,280,32FT,14.52,3.06,Textiles,1.42,0,1,1.61,1.0,1.0,3.99,0.995,0.04,0.075,1.26,499,1
T11440,C21440,Mumbai,Ahmedabad,530,Tata 407,4.84,3.41,Electronics,0.59,1,5,3.21,0.96,1.0,4.35,0.85,0.013,0.025,1.14,357,0
T11441,C21441,Mumbai,Pune,150,Tata 407,4.72,3.23,E-commerce Parcels,2.4,15,16,1.07,0.858,1.0,4.31,0.845,0.051,0.048,0.65,234,1
T11442,C21442,Bhubaneswar,Kolkata,440,32FT,17.83,8.04,Pharma,6.38,3,2,0.0,1.0,1.0,4.86,0.878,0.026,0.064,0.96,2681,0
T11443,C21443,Kolkata,Delhi,1500,LCV,3.87,1.56,Pharma,0.4,15,17,2.35,0.897,1.0,4.83,0.965,0.094,0.025,0.61,460,0
T11444,C21444,Bengaluru,Delhi,2150,20FT,9.18,2.89,Auto Parts,2.95,23,22,1.42,0.904,0.981,3.87,0.862,0.166,0.0,0.63,3989,0
T11445,C21445,Delhi,Bengaluru,2150,Tata 407,3.84,1.74,Furniture,0.88,20,19,1.19,0.941,1.0,3.65,0.98,0.112,0.045,0.97,1824,0
T11446,C21446,Lucknow,Delhi,550,17FT,5.92,0.56,Electronics,0.55,15,20,6.09,0.895,1.0,4.04,0.961,0.168,0.024,1.38,415,0
T11447,C21447,Ahmedabad,Mumbai,530,32FT,14.21,10.61,Textiles,6.78,0,0,0.0,0.778,1.0,4.44,0.762,0.005,0.046,1.53,5477,1
T11448,C21448,Delhi,Jaipur,280,20FT,9.91,4.49,Textiles,1.79,7,7,0.0,0.865,1.0,4.22,0.995,0.025,0.03,1.3,654,1
T11449,C21449,Mumbai,Delhi,1400,Tata 407,3.61,2.0,Pharma,1.33,14,16,2.2,1.0,1.0,4.29,0.879,0.031,0.023,1.23,2293,1
T11450,C21450,Bengaluru,Hyderabad,570,20FT,7.65,1.0,Auto Parts,0.68,9,8,1.19,1.0,1.0,4.75,0.977,0.014,0.056,0.62,240,1
T11451,C21451,Delhi,Bengaluru,2150,Tata 407,3.94,1.87,Industrial Goods,1.73,8,9,0.38,0.904,1.0,3.9,0.901,0.019,0.067,1.09,4068,1
T11452,C21452,Ahmedabad,Jaipur,670,17FT,6.87,1.27,Furniture,0.93,5,4,1.0,0.898,1.0,4.75,0.86,0.215,0.036,0.79,491,1
T11453,C21453,Chennai,Hyderabad,630,LCV,2.91,1.77,Industrial Goods,0.21,5,7,1.79,0.966,1.0,5.0,0.982,0.196,0.011,0.9,283,0
T11454,C21454,Kolkata,Delhi,1500,32FT,14.88,8.34,Electronics,0.4,21,19,1.52,0.907,1.0,4.12,0.977,0.209,0.016,1.19,894,1
T11455,C21455,Lucknow,Delhi,550,20FT,9.31,1.42,Auto Parts,0.78,13,14,1.27,0.879,1.0,4.43,0.835,0.119,0.034,1.04,447,0
T11456,C21456,Delhi,Mumbai,1400,Tata 407,3.36,2.49,Industrial Goods,1.34,5,5,0.24,0.976,1.0,3.93,0.995,0.055,0.017,0.5,939,1
T11457,C21457,Bhubaneswar,Kolkata,440,Tata 407,4.23,1.73,E-commerce Parcels,0.63,4,2,3.31,0.818,1.0,3.56,0.922,0.088,0.042,0.61,169,1
T11458,C21458,Jaipur,Ahmedabad,670,20FT,8.19,5.06,Auto Parts,0.85,17,18,0.11,0.958,1.0,4.4,0.906,0.053,0.031,0.76,437,1
T11459,C21459,Kolkata,Bhubaneswar,440,32FT,15.06,3.22,Pharma,3.26,4,0,3.95,0.938,0.987,4.37,0.894,0.035,0.028,1.11,1589,1
T11460,C21460,Delhi,Mumbai,1400,LCV,3.09,1.51,Pharma,1.27,21,22,0.05,0.871,1.0,4.04,0.922,0.018,0.047,0.64,1140,1
T11461,C21461,Mumbai,Pune,150,LCV,2.21,0.44,Furniture,0.49,17,12,4.03,0.866,0.891,4.36,0.874,0.131,0.025,0.97,73,1
T11462,C21462,Pune,Mumbai,150,40FT,24.18,16.06,E-commerce Parcels,4.52,9,13,4.77,1.0,1.0,4.38,0.982,0.073,0.006,0.67,453,1
T11463,C21463,Lucknow,Delhi,550,Tata 407,3.79,1.03,Industrial Goods,0.83,15,15,0.0,1.0,1.0,3.25,0.922,0.005,0.017,0.66,298,0
T11464,C21464,Kolkata,Delhi,1500,Tata 407,3.76,1.8,Industrial Goods,1.31,8,6,1.87,0.919,1.0,4.86,0.77,0.039,0.009,0.96,1894,1
T11465,C21465,Lucknow,Delhi,550,32FT,14.2,2.69,Electronics,2.3,4,6,0.0,0.978,1.0,4.35,0.969,0.052,0.067,0.86,1093,1
T11466,C21466,Kolkata,Bhubaneswar,440,Tata 407,4.65,1.36,Electronics,0.84,7,6,1.2,0.883,1.0,3.61,0.882,0.233,0.001,0.83,307,1
T11467,C21467,Delhi,Mumbai,1400,20FT,9.01,4.73,Textiles,3.15,18,20,1.73,0.994,1.0,4.34,0.891,0.051,0.057,0.94,4135,1
T11468,C21468,Bengaluru,Delhi,2150,LCV,2.06,1.2,Furniture,0.37,6,2,4.26,0.808,1.0,4.71,0.791,0.049,0.034,0.84,902,0
T11469,C21469,Bhubaneswar,Kolkata,440,Tata 407,4.41,2.57,Auto Parts,2.24,17,18,0.83,0.845,1.0,4.38,0.816,0.027,0.036,1.05,1032,0
T11470,C21470,Delhi,Jaipur,280,17FT,5.32,3.28,Pharma,1.21,18,19,0.06,1.0,1.0,4.03,0.883,0.095,0.025,0.94,319,0
T11471,C21471,Delhi,Bengaluru,2150,17FT,7.61,4.33,Pharma,1.57,21,17,3.54,0.892,1.0,5.0,0.995,0.015,0.063,1.09,3662,1
T11472,C21472,Chennai,Hyderabad,630,17FT,7.05,3.56,Pharma,2.65,22,23,0.86,1.0,1.0,4.66,0.995,0.113,0.041,1.03,1717,0
T11473,C21473,Delhi,Kolkata,1500,32FT,14.45,10.29,Industrial Goods,0.47,22,23,1.73,0.956,1.0,5.0,0.869,0.061,0.011,1.36,1019,0
T11474,C21474,Bengaluru,Hyderabad,570,32FT,17.43,12.68,Pharma,2.77,5,8,3.35,0.996,1.0,4.28,0.995,0.037,0.019,1.09,1720,1
T11475,C21475,Delhi,Jaipur,280,Tata 407,4.13,1.12,Electronics,0.57,19,17,1.71,1.0,1.0,3.89,0.744,0.015,0.01,1.35,214,1
T11476,C21476,Bengaluru,Hyderabad,570,17FT,7.14,0.83,E-commerce Parcels,0.4,6,11,6.82,0.947,1.0,3.84,0.925,0.051,0.168,1.11,317,0
T11477,C21477,Delhi,Mumbai,1400,40FT,21.59,14.18,Textiles,5.75,5,3,3.47,0.803,1.0,4.74,0.68,0.049,0.066,0.96,7725,0
T11478,C21478,Bengaluru,Chennai,350,LCV,3.73,2.07,E-commerce Parcels,0.21,22,23,1.32,0.93,1.0,4.3,0.988,0.084,0.022,0.94,165,1
T11479,C21479,Bengaluru,Delhi,2150,40FT,22.05,13.93,E-commerce Parcels,0.75,1,1,0.0,0.801,1.0,4.56,0.98,0.004,0.034,0.98,1578,1
T11480,C21480,Bengaluru,Mumbai,980,LCV,3.16,0.66,FMCG,0.6,14,11,3.29,0.89,1.0,4.69,0.989,0.015,0.102,1.23,722,0
T11481,C21481,Jaipur,Ahmedabad,670,40FT,21.58,12.6,Pharma,1.18,21,17,4.5,0.951,1.0,3.44,0.752,0.097,0.054,1.08,858,0
T11482,C21482,Mumbai,Pune,150,LCV,2.18,0.32,FMCG,0.35,6,8,0.64,0.844,0.92,4.11,0.892,0.051,0.012,0.83,62,1
T11483,C21483,Bengaluru,Chennai,350,17FT,7.94,1.68,Electronics,0.4,12,7,5.5,0.983,1.0,4.98,0.975,0.11,0.053,1.26,220,1
T11484,C21484,Lucknow,Delhi,550,Tata 407,4.16,1.12,Auto Parts,0.24,18,14,5.06,0.918,1.0,3.89,0.732,0.047,0.047,0.83,229,1
T11485,C21485,Chennai,Bengaluru,350,17FT,7.9,1.99,Pharma,1.31,5,4,1.03,0.884,1.0,4.93,0.774,0.082,0.009,0.66,300,1
T11486,C21486,Delhi,Mumbai,1400,32FT,17.4,6.05,Furniture,4.9,12,8,3.96,0.875,1.0,4.23,0.889,0.008,0.013,0.67,4620,0
T11487,C21487,Delhi,Kolkata,1500,20FT,8.79,2.93,Auto Parts,1.72,15,13,3.18,0.905,1.0,4.31,0.995,0.036,0.002,1.48,3820,0
T11488,C21488,Bengaluru,Mumbai,980,32FT,14.64,6.81,Furniture,1.28,2,2,0.9,0.997,1.0,4.66,0.925,0.036,0.028,0.86,1078,1
T11489,C21489,Delhi,Kolkata,1500,20FT,9.98,2.19,Industrial Goods,1.93,13,10,2.49,1.0,1.0,4.09,0.802,0.154,0.001,1.44,4150,0
T11490,C21490,Chennai,Bengaluru,350,20FT,8.93,6.19,Pharma,4.01,18,18,0.47,0.964,1.0,4.38,0.977,0.022,0.041,0.98,1370,1
T11491,C21491,Chennai,Bengaluru,350,LCV,2.45,1.25,FMCG,1.08,19,17,2.79,1.0,1.0,4.21,0.712,0.014,0.079,0.99,373,0
T11492,C21492,Mumbai,Pune,150,17FT,5.73,0.54,Electronics,0.26,8,11,2.83,0.859,1.0,4.91,0.832,0.007,0.028,1.16,87,1
T11493,C21493,Chennai,Bengaluru,350,Tata 407,3.75,0.87,Auto Parts,0.22,10,6,3.8,0.949,1.0,4.16,0.811,0.026,0.027,1.08,190,0
T11494,C21494,Jaipur,Delhi,280,32FT,17.42,4.74,E-commerce Parcels,1.85,22,20,3.79,0.825,1.0,4.02,0.718,0.012,0.011,0.83,429,0
T11495,C21495,Mumbai,Delhi,1400,17FT,6.68,3.65,E-commerce Parcels,3.25,7,1,7.16,1.0,1.0,4.09,0.859,0.004,0.027,1.02,4666,0
T11496,C21496,Delhi,Jaipur,280,LCV,2.43,0.95,Pharma,0.46,11,12,1.33,1.0,1.0,4.19,0.923,0.024,0.055,0.88,123,1
T11497,C21497,Kolkata,Bhubaneswar,440,Tata 407,4.54,2.62,Furniture,1.67,2,0,2.01,1.0,1.0,4.2,0.944,0.037,0.008,1.01,744,1
T11498,C21498,Lucknow,Delhi,550,Tata 407,4.86,2.42,E-commerce Parcels,0.68,1,0,1.81,0.929,1.0,4.16,0.813,0.059,0.004,1.04,386,0
T11499,C21499,Chennai,Bengaluru,350,17FT,5.18,1.21,Textiles,0.73,16,19,2.46,0.85,1.0,4.65,0.864,0.005,0.012,1.14,289,1
T11500,C21500,Ahmedabad,Mumbai,530,20FT,7.21,1.05,Auto Parts,0.4,22,20,2.11,0.981,1.0,4.9,0.905,0.031,0.044,0.65,174,1
T11501,C21501,Mumbai,Bengaluru,980,32FT,16.51,3.69,Auto Parts,2.63,9,7,3.37,0.896,1.0,4.33,0.635,0.028,0.04,0.93,2410,0
T11502,C21502,Delhi,Bengaluru,2150,LCV,3.87,2.28,Textiles,2.51,17,17,0.0,1.0,0.91,4.35,0.754,0.02,0.04,0.95,5138,1
T11503,C21503,Jaipur,Ahmedabad,670,40FT,18.67,5.18,E-commerce Parcels,1.53,1,0,1.4,0.872,1.0,4.38,0.843,0.118,0.013,1.11,1137,1
T11504,C21504,Mumbai,Ahmedabad,530,LCV,2.18,0.72,Pharma,0.61,1,2,1.53,0.82,1.0,4.81,0.873,0.014,0.008,0.75,243,1
T11505,C21505,Bengaluru,Chennai,350,LCV,3.4,1.68,FMCG,0.35,2,0,1.67,0.845,1.0,4.48,0.851,0.015,0.024,0.96,167,1
T11506,C21506,Chennai,Bengaluru,350,Tata 407,4.93,1.46,Furniture,0.78,17,14,3.38,0.813,1.0,4.54,0.891,0.087,0.015,1.45,393,1
T11507,C21507,Bengaluru,Chennai,350,17FT,7.23,4.9,Electronics,1.23,19,18,0.65,0.855,1.0,3.97,0.98,0.15,0.012,1.14,492,1
T11508,C21508,Mumbai,Delhi,1400,32FT,17.12,5.68,Electronics,6.3,7,7,1.14,0.948,0.901,3.9,0.826,0.051,0.022,1.23,10847,1
T11509,C21509,Bhubaneswar,Kolkata,440,17FT,6.58,0.52,E-commerce Parcels,0.47,19,17,2.14,0.932,1.0,4.74,0.995,0.029,0.023,0.97,214,1
T11510,C21510,Chennai,Hyderabad,630,20FT,7.58,2.08,FMCG,1.44,21,22,1.4,0.994,1.0,4.0,0.947,0.015,0.006,1.05,952,1
T11511,C21511,Ahmedabad,Mumbai,530,Tata 407,3.11,0.71,Electronics,0.65,21,22,0.74,0.868,1.0,5.0,0.76,0.195,0.011,0.74,256,1
T11512,C21512,Bengaluru,Hyderabad,570,20FT,9.62,2.09,Furniture,2.12,21,22,1.01,0.978,0.986,4.58,0.995,0.064,0.046,0.92,1111,0
T11513,C21513,Jaipur,Delhi,280,LCV,2.37,1.29,Electronics,0.48,17,14,3.8,0.982,1.0,4.52,0.779,0.229,0.028,0.96,135,0
T11514,C21514,Delhi,Kolkata,1500,20FT,9.53,3.22,Auto Parts,3.13,8,6,1.34,0.83,1.0,4.41,0.944,0.019,0.04,0.82,3834,1
T11515,C21515,Delhi,Lucknow,550,32FT,14.09,4.01,Textiles,1.77,18,23,5.04,1.0,1.0,4.48,0.848,0.06,0.093,1.18,1143,1
T11516,C21516,Ahmedabad,Jaipur,670,LCV,2.75,1.28,Textiles,1.27,3,2,0.38,0.875,1.0,4.59,0.859,0.081,0.0,0.88,746,1
T11517,C21517,Delhi,Jaipur,280,40FT,18.48,10.94,E-commerce Parcels,4.89,12,13,0.77,0.891,1.0,4.96,0.841,0.067,0.019,0.83,1141,1
T11518,C21518,Bengaluru,Hyderabad,570,LCV,3.21,1.22,E-commerce Parcels,1.11,4,5,0.64,0.997,1.0,3.64,0.92,0.036,0.024,0.76,478,1
T11519,C21519,Ahmedabad,Jaipur,670,LCV,3.28,1.93,Auto Parts,1.29,7,9,2.07,0.922,1.0,4.97,0.822,0.015,0.065,1.08,929,0
T11520,C21520,Delhi,Mumbai,1400,32FT,17.13,10.95,Textiles,2.19,16,20,4.47,0.937,1.0,4.34,0.82,0.024,0.004,1.12,3435,1
T11521,C21521,Mumbai,Ahmedabad,530,17FT,6.78,4.02,Industrial Goods,0.71,10,5,6.14,1.0,1.0,4.84,0.866,0.01,0.084,0.69,260,1
T11522,C21522,Jaipur,Ahmedabad,670,17FT,7.72,5.59,E-commerce Parcels,3.73,13,17,2.6,0.864,1.0,4.43,0.865,0.093,0.017,0.45,1125,1
T11523,C21523,Bengaluru,Hyderabad,570,40FT,23.01,12.38,Furniture,7.87,7,5,2.09,0.846,1.0,4.42,0.926,0.02,0.018,0.92,4140,1
T11524,C21524,Bengaluru,Chennai,350,Tata 407,3.73,1.84,FMCG,0.59,3,0,3.45,1.0,1.0,4.65,0.851,0.055,0.019,0.72,148,1
T11525,C21525,Bengaluru,Chennai,350,LCV,3.27,1.86,E-commerce Parcels,1.19,4,3,1.79,0.876,1.0,5.0,0.766,0.041,0.016,0.78,322,1
T11526,C21526,Hyderabad,Bengaluru,570,40FT,21.75,5.42,Auto Parts,4.57,11,5,6.53,0.842,1.0,3.95,0.786,0.025,0.034,1.25,3248,0
T11527,C21527,Bengaluru,Delhi,2150,17FT,5.6,2.06,E-commerce Parcels,0.59,11,8,4.48,0.782,1.0,4.57,0.869,0.037,0.048,0.99,1259,1
T11528,C21528,Bengaluru,Chennai,350,40FT,23.32,4.1,E-commerce Parcels,0.48,23,23,0.0,0.872,1.0,5.0,0.865,0.096,0.039,1.23,215,1
T11529,C21529,Delhi,Bengaluru,2150,40FT,21.13,14.73,Furniture,6.49,14,17,3.8,0.954,1.0,4.13,0.769,0.002,0.022,1.14,15933,1
T11530,C21530,Delhi,Bengaluru,2150,32FT,14.76,7.54,Industrial Goods,1.27,20,15,4.78,0.854,1.0,3.75,0.853,0.034,0.044,0.94,2585,1
T11531,C21531,Ahmedabad,Jaipur,670,20FT,9.13,1.63,E-commerce Parcels,0.86,16,18,2.75,0.96,1.0,4.89,0.667,0.074,0.02,1.12,642,0
T11532,C21532,Kolkata,Delhi,1500,17FT,5.7,1.39,E-commerce Parcels,0.72,10,16,6.86,0.925,1.0,4.48,0.76,0.002,0.065,0.71,762,0
T11533,C21533,Pune,Mumbai,150,17FT,6.69,4.31,Auto Parts,4.18,9,11,2.5,0.883,1.0,3.46,0.805,0.174,0.006,1.17,737,0
T11534,C21534,Delhi,Mumbai,1400,32FT,17.82,4.08,Electronics,2.04,3,0,3.72,0.762,1.0,4.12,0.92,0.04,0.044,1.1,3137,0
T11535,C21535,Lucknow,Delhi,550,32FT,17.5,2.75,Textiles,0.25,8,8,0.0,0.917,1.0,4.41,0.912,0.018,0.001,0.86,237,1
T11536,C21536,Ahmedabad,Jaipur,670,32FT,15.01,5.65,FMCG,1.57,12,10,2.92,1.0,1.0,4.93,0.995,0.03,0.024,1.05,1101,1
T11537,C21537,Hyderabad,Chennai,630,40FT,21.04,11.1,E-commerce Parcels,3.65,8,8,0.0,0.881,1.0,5.0,0.995,0.137,0.006,0.7,1618,1
T11538,C21538,Bhubaneswar,Kolkata,440,20FT,7.32,2.12,Industrial Goods,2.21,17,20,2.63,0.911,0.961,4.91,0.978,0.041,0.119,1.11,1080,0
T11539,C21539,Pune,Mumbai,150,LCV,2.32,0.67,Industrial Goods,0.66,18,19,1.79,0.937,1.0,3.94,0.995,0.028,0.002,0.81,80,1
T11540,C21540,Kolkata,Delhi,1500,20FT,7.59,1.85,Industrial Goods,0.88,14,15,0.37,0.791,1.0,2.99,0.912,0.009,0.008,1.17,1541,1
T11541,C21541,Lucknow,Delhi,550,20FT,9.59,1.88,Furniture,1.7,2,5,3.56,0.843,1.0,4.86,0.831,0.026,0.007,0.89,826,0
T11542,C21542,Mumbai,Ahmedabad,530,Tata 407,3.92,1.99,E-commerce Parcels,1.8,8,8,0.0,1.0,1.0,4.92,0.889,0.076,0.018,0.45,428,1
T11543,C21543,Bhubaneswar,Kolkata,440,Tata 407,3.81,2.84,FMCG,0.68,20,19,1.72,0.83,1.0,4.85,0.812,0.04,0.017,0.57,171,1
T11544,C21544,Mumbai,Ahmedabad,530,LCV,2.27,0.36,Auto Parts,0.26,14,15,1.32,0.956,1.0,4.94,0.937,0.055,0.019,1.28,339,1
T11545,C21545,Kolkata,Delhi,1500,40FT,18.29,5.96,Auto Parts,4.8,1,5,1.88,0.897,1.0,5.0,0.93,0.001,0.009,1.12,8082,0
T11546,C21546,Kolkata,Bhubaneswar,440,LCV,2.79,1.48,Textiles,1.47,7,5,2.62,0.923,1.0,4.93,0.798,0.018,0.007,0.92,597,1
T11547,C21547,Delhi,Kolkata,1500,LCV,3.56,0.59,FMCG,0.59,19,19,0.0,0.809,1.0,3.77,0.812,0.062,0.058,0.93,821,1
T11548,C21548,Mumbai,Delhi,1400,20FT,9.51,1.02,Electronics,0.86,20,17,3.11,0.874,1.0,4.15,0.88,0.009,0.0,0.93,1125,1
T11549,C21549,Ahmedabad,Jaipur,670,Tata 407,4.69,0.66,E-commerce Parcels,0.74,19,14,4.54,0.892,0.886,4.79,0.871,0.046,0.054,0.78,390,1
T11550,C21550,Mumbai,Bengaluru,980,32FT,14.11,4.17,FMCG,2.65,18,22,3.63,0.823,1.0,4.81,0.933,0.084,0.13,0.96,2496,1
T11551,C21551,Jaipur,Delhi,280,40FT,20.35,2.94,Textiles,1.87,16,16,0.0,1.0,1.0,4.27,0.736,0.034,0.048,1.25,655,1
T11552,C21552,Hyderabad,Chennai,630,LCV,2.58,0.97,Electronics,0.9,18,14,4.22,1.0,1.0,5.0,0.838,0.016,0.013,0.91,515,1
T11553,C21553,Hyderabad,Chennai,630,40FT,23.83,1.91,E-commerce Parcels,0.66,18,20,2.72,1.0,1.0,4.11,0.876,0.066,0.128,1.32,551,1
T11554,C21554,Ahmedabad,Mumbai,530,20FT,7.56,1.68,E-commerce Parcels,0.33,19,15,3.77,0.981,1.0,4.95,0.905,0.097,0.004,0.72,191,1
T11555,C21555,Bengaluru,Chennai,350,20FT,9.34,3.27,Furniture,1.91,13,6,7.08,1.0,1.0,4.73,0.896,0.094,0.003,0.79,529,1
T11556,C21556,Jaipur,Delhi,280,Tata 407,4.22,0.52,E-commerce Parcels,0.44,11,10,1.37,1.0,1.0,3.95,0.827,0.111,0.075,1.27,178,0
T11557,C21557,Delhi,Lucknow,550,32FT,14.24,4.44,Industrial Goods,2.61,11,11,0.0,0.871,1.0,4.41,0.875,0.018,0.002,1.14,1634,1
T11558,C21558,Jaipur,Delhi,280,40FT,23.38,9.98,Textiles,0.35,15,11,2.74,0.931,1.0,4.2,0.815,0.042,0.012,0.75,106,1
T11559,C21559,Chennai,Hyderabad,630,20FT,7.67,5.57,Furniture,1.21,11,17,5.5,1.0,1.0,5.0,0.761,0.095,0.006,0.98,748,0
T11560,C21560,Mumbai,Pune,150,LCV,3.0,1.25,FMCG,0.67,16,16,0.73,0.995,1.0,4.97,0.899,0.06,0.072,0.66,66,1
T11561,C21561,Lucknow,Delhi,550,LCV,3.41,2.07,Auto Parts,0.74,3,3,0.71,0.999,1.0,3.92,0.828,0.097,0.032,0.87,354,1
T11562,C21562,Bengaluru,Mumbai,980,17FT,6.74,4.75,FMCG,2.26,9,11,2.25,0.814,1.0,3.98,0.971,0.174,0.024,0.73,1606,0
T11563,C21563,Mumbai,Bengaluru,980,Tata 407,4.92,2.46,Textiles,2.63,3,1,1.4,0.885,0.933,4.65,0.995,0.011,0.08,0.96,2478,1
T11564,C21564,Lucknow,Delhi,550,LCV,3.73,2.6,Textiles,1.69,12,14,2.52,0.893,1.0,4.47,0.836,0.116,0.031,0.6,560,0
T11565,C21565,Delhi,Jaipur,280,20FT,7.36,1.01,Furniture,0.49,0,0,0.4,0.904,1.0,3.71,0.919,0.078,0.015,1.3,182,1
T11566,C21566,Delhi,Mumbai,1400,LCV,2.83,0.57,Pharma,0.28,22,20,2.06,0.958,1.0,4.09,0.891,0.025,0.011,1.09,762,0
T11567,C21567,Delhi,Jaipur,280,17FT,6.87,1.21,Textiles,0.56,3,3,0.0,0.912,1.0,4.5,0.982,0.011,0.012,1.22,190,1
T11568,C21568,Bengaluru,Chennai,350,32FT,15.71,3.02,Furniture,0.41,7,10,2.8,1.0,1.0,3.76,0.995,0.104,0.01,0.85,148,1
T11569,C21569,Delhi,Lucknow,550,17FT,6.39,3.37,Pharma,2.29,7,6,2.24,0.952,1.0,5.0,0.944,0.065,0.053,1.37,1724,1
T11570,C21570,Jaipur,Delhi,280,40FT,18.23,13.08,Electronics,2.03,2,6,4.18,0.973,1.0,4.51,0.871,0.075,0.009,0.79,448,0
T11571,C21571,Mumbai,Bengaluru,980,LCV,3.42,1.45,Industrial Goods,1.43,22,22,0.0,0.91,1.0,3.69,0.75,0.117,0.002,0.53,742,1
T11572,C21572,Delhi,Bengaluru,2150,17FT,5.41,1.89,E-commerce Parcels,0.59,8,8,0.0,1.0,1.0,4.04,0.964,0.029,0.013,0.91,1165,1
T11573,C21573,Delhi,Kolkata,1500,Tata 407,4.6,1.96,Pharma,2.01,0,0,0.77,0.906,0.974,4.78,0.964,0.134,0.048,0.76,2288,1
T11574,C21574,Hyderabad,Chennai,630,LCV,2.76,1.42,Auto Parts,1.48,11,9,2.56,0.886,0.959,4.35,0.995,0.035,0.115,0.92,858,0
T11575,C21575,Delhi,Kolkata,1500,20FT,9.9,0.94,Auto Parts,0.25,16,15,1.27,1.0,1.0,4.73,0.806,0.1,0.033,1.08,811,1
T11576,C21576,Bengaluru,Chennai,350,40FT,18.53,13.07,Auto Parts,0.71,4,1,4.12,0.902,1.0,4.08,0.986,0.029,0.004,0.8,199,0
T11577,C21577,Jaipur,Delhi,280,32FT,16.67,3.62,Electronics,1.93,22,20,1.24,1.0,1.0,3.67,0.798,0.012,0.038,0.68,369,1
T11578,C21578,Lucknow,Delhi,550,Tata 407,4.2,2.75,E-commerce Parcels,2.97,5,4,0.92,0.995,0.926,4.78,0.918,0.012,0.048,0.96,1568,1
T11579,C21579,Mumbai,Ahmedabad,530,Tata 407,4.23,1.29,Industrial Goods,1.15,8,7,0.0,0.936,1.0,4.16,0.734,0.031,0.024,0.99,600,1
T11580,C21580,Mumbai,Delhi,1400,32FT,17.02,8.36,E-commerce Parcels,2.13,11,11,0.0,1.0,1.0,4.74,0.824,0.101,0.065,0.9,2692,1
